失	shǐ	arrow; vow	失
头	tou2		
夷	yi2		
奇	qi2		
奥	ao4		
女 	nǚ 	female, daughter	女 
奴	nu2		
奶 	nǎi 	milk	女 
她	tā	she, her	女
好	hǎo	good	女
如	ru2		
妈 	mā 	mother 	女
妹 	mèi 	younger sister	女
妻 	qī 	wife	女
始 	shǐ 	begin, start, then	女
姐 	jiě 	elder sister	女
姓 	xìng 	surname 	女
姨	yi2		
姻	yin1		
威	wei1		
娇	jiao1		
子	zi	offspring, child	子
字	zì	character	子
存	cun2		
学 	xué 	learning, knowledge	子
孩 	hái 	child	子
宁	ning2		
它 	tā 	it 	宀
完 	wán 	finish, complete, whole	宀
官	guan1		
定	ding4		
宜 	yi 	proper, suitable, should	宀
宝	bao3		
实	shi5		
宠	chong3		
客 	kè 	customer, visitor, guest	宀
室 	shì 	room	宀
害	hai4		
宵	xiao1		
家	jiā	home	宀
容	rong2		
寸	cun4		
对	dui4		
寺	si4		
将	jiang1		
尃	fu1		
小	xiǎo	small	小
少	shǎo	few, little	小
尔	er3		
尖	jian1		
尝	chang2		
尤	you2		
就 	jiǜ 	at once	尢
尸	shi1		
尺	chi3		
尾	wei3		
屋	wu1		
属	shu3		
屮	che4		
屯	tun2		
山	shan1		
岁	suì	year	山
工 	gōng 	labor, work	工 
左 	zuǒ 	left	工 
巧	qiao3		
巨	ju4		
巩	gong3		
差	cha4		
己	ji3		
已 	yǐ	already, afterwards	已 
巴	ba5		
巾	jīn 	towel, turban	巾
市	shi4		
布	bu4		
帅	shuai4		
师 	shī 	teacher, expert, master	巾
希 	xī 	hope, admire	巾
帝	di4		
带	dai4		
帮 	bāng 	help, assist	巾
常 	cháng 	often, common	巾
帽	mao4		
干	gan1		
平	ping2		
年	nián	year	干
并	bing4		
幸	xing4		
广	guǎng 	wide, extensive, broad	广
床 	chuáng 	bed	广
应	ying1		
底	di3		
店 	diàn 	shop, store	广
度	du4		
延	yan2		
建	jian4		
廾	gong3		
开	kāi	open	廾
异	yi4		
弃	qi4		
弄	nong4		
弋	yi4		
弓	gōng 	bow, curved	弓
弟 	dì 	order, prefix	竹
张 	zhāng 	sheet 	弓
弯	wan1		
弱	ruo4		
强	qiang2		
当	dang1		
彖	tuan4		
彡	shān 	hair	彡
彩	cai3		
影 	yǐng 	picture	彡
彳	chi4		
役	yi4		
往	wang3		
待	dai4		
很	hěn	quite, very	彳
得	de2		
心	xīn 	heart	心
必	bi4		
忍	ren3		
忘	wang4		
忙	máng 	busy 	心
快 	kuài 	fast 	心
怎 	zěn	why, how	心
怕	pa4		
怖	bu4		
思 	si 	to think, to consider	心
性	xing4		
恐	kong3		
恢	hui1		
息 	xi 	breath, rest, news	心
您 	nín 	you (polite)	心
情 	qing 	feeling, emotion	心
惊	jing1		
惜	xi1		
惯	guan4		
想	xiǎng	want	心
愉	yu2		
意 	yì 	idea, meaning, desire	心
感	gan3		
愧	kui4		
愿	yuan4		
慢 	màn 	slow 	心
